track_id,genre,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
6oJ6le65B3SEqPwMRNXWjY,pop,0.693,0.678,-7.159,1,0.0324,0.0154,0.101,0.404,103.952,228267
2tilX6FUl0IwFgiOYjuc6V,pop,0.678,0.928,-3.66,0,0.0597,0.0303,0.143,0.663,116.892,150160
3yNZ5r3LKfdmjoS3gkhUCT,pop,0.67,0.453,-11.265,1,0.295,0.252,0.117,0.68,135.055,194840
478QYNLw6dhTTx4oEkhBeq,pop,0.755,0.931,-4.104,0,0.0606,0.132,0.0854,0.288,122.041,177466
3C4fzUgIP3ahkhOBdP38GM,pop,0.622,0.859,-7.626,1,0.0636,0.000609,0.0909,0.442,121.968,218373
2k4c9ZAlIYHyXiJ4i20FO7,pop,0.789,0.893,-4.364,0,0.168,0.0538,0.221,0.41,121.956,144073
79zGYOcAe2VmJsyQiJX31a,pop,0.64,0.838,-4.203,1,0.0416,0.0588,0.0424,0.587,124.081,193861
6B2NRQjtSOtqi67d72r5cx,pop,0.609,0.764,-4.564,0,0.111,0.0994,0.197,0.531,128.082,200625
08rBIlTMXlF5uEHobZglxv,pop,0.64,0.992,-3.318,0,0.0585,0.0832,0.109,0.479,123.951,166237
1BmdqDrBU5eohtRwHBls6C,pop,0.75,0.81,-4.607,0,0.0572,0.0917,0.111,0.48,120.038,171500
5rxKInBVj0QE87KenyDiLf,pop,0.535,0.956,-2.996,0,0.0343,0.000609,0.262,0.12,127.984,266719
3kgKVcBpBGuSeaEC0AZGlb,pop,0.766,0.771,-9.108,1,0.0576,0.00407,0.113,0.297,140.036,204027
5qCrT9lVmIGxqB8i6bb83P,pop,0.649,0.821,-4.952,0,0.0472,0.017,0.0655,0.394,125.977,203968
3Lv3frZVXU7Q0JEFvLIzWW,pop,0.588,0.697,-4.744,0,0.0372,0.186,0.103,0.225,125.157,190417
2bZYJvVRN5EqIvAUFhUNls,pop,0.355,0.789,-4.358,0,0.165,0.0148,0.0355,0.169,80.444,237686
3utdq3dPLVD4r7Vv9BnCAI,pop,0.542,0.84,-5.283,0,0.0419,0.0336,0.277,0.509,118.02,180361
1ppOGANOzMT01Cxh9jx4hN,pop,0.735,0.5,-11.297,1,0.0511,0.415,0.13,0.119,126.1,139048
5Shjuje8PRcX7ueEVajrLH,pop,0.752,0.84,-4.451,0,0.0373,0.00486,0.0916,0.461,124.002,279800
6wKJjrWWP4qpzYbE8oQkc4,pop,0.748,0.903,-5.877,0,0.0385,0.0324,0.106,0.751,115.018,217043
6EDH26ppl7R8oV4tGilCkS,pop,0.607,0.955,-3.613,0,0.102,0.0163,0.0725,0.501,125.984,230476
4RaN7556EogBfF80klMEX2,pop,0.607,0.995,-2.325,0,0.0487,0.0921,0.0445,0.664,124.998,188640
1nwoWaqzB30bD4IPqRNuex,pop,0.679,0.786,-6.918,0,0.132,0.119,0.224,0.47,126.092,196613
4fDBElPGDqZQ3rJorZTm2w,pop,0.714,0.801,-5.8,0,0.0301,0.0204,0.334,0.292,124.015,210000
6AZ21kPj2a0INgf3uCviVu,pop,0.69,0.862,-4.154,1,0.0944,0.0611,0.238,0.453,121.975,187869
3uXHSf9sSIpOJWuC1H8DiU,pop,0.775,0.867,-7.388,0,0.204,0.0158,0.0355,0.565,128.956,273229
4Q9iBGT9b9CVTtDwsgQWnl,pop,0.814,0.838,-5.547,1,0.0763,0.001,0.0185,0.959,121.978,255861
6LCsZ8ARrIq0n9nr6gM2ru,pop,0.784,0.779,-5.48,1,0.0387,0.0357,0.0245,0.459,124.994,216714
27F9FlipD657qYRQT3qxFm,pop,0.367,0.783,-4.504,1,0.154,0.00515,0.0545,0.289,88.013,192653
6B9cqNooxIyPfr3P5EB8LA,pop,0.609,0.83,-3.759,0,0.0793,0.201,0.0321,0.604,117.833,238451
05CwHjIk71RXVU40boRMnR,pop,0.591,0.702,-5.59,1,0.0289,0.225,0.414,0.501,104.003,217653
0qc4QlcCxVTGyShurEv1UU,pop,0.59,0.642,-3.87,1,0.122,0.0771,0.105,0.651,107.356,174444
5icOoE6VgqFKohjWWNp0Ac,pop,0.791,0.565,-3.933,0,0.0439,0.0623,0.156,0.181,99.961,156347
6GIRtKNXokeu25nn7U6Hu8,pop,0.564,0.747,-3.374,1,0.0584,0.0728,0.151,0.717,97.878,165767
4PkIDTPGedm0enzdvilLNd,pop,0.669,0.801,-5.445,1,0.136,0.268,0.0594,0.541,109.919,201072
5PYQUBXc7NYeI1obMKSJK0,pop,0.77,0.882,-4.792,1,0.0602,0.194,0.316,0.385,99.991,223523
4Gcv5SsxnQWpmOnUI19EJk,pop,0.513,0.788,-4.629,1,0.0364,0.00968,0.11,0.234,139.987,238459
5YkmS18BehACOhIIeUqe6l,pop,0.72,0.864,-3.249,1,0.208,0.0856,0.16,0.659,96.048,191612
3vQhEd4lOg4mAV6CHCgoHW,pop,0.789,0.858,-4.388,1,0.0404,0.22,0.335,0.491,110.012,173455
6wo37KVqFJhtuxPTpLCcfe,pop,0.294,0.505,-8.106,1,0.042,0.12,0.0977,0.357,85.332,209893
3OTSBoYKO7HzGVj8Bu2OH9,pop,0.665,0.799,-2.868,0,0.0617,0.18,0.125,0.5,101.976,228112
4NSW0Km5ZG60L8FthUebPJ,pop,0.46,0.8,-3.584,1,0.05,0.289,0.121,0.553,102.46,220396
1xK7enJZVdv37fnnxoZlPq,pop,0.362,0.921,-3.815,0,0.486,0.123,0.19,0.529,172.191,180840
1z1XegUChLLQfcbtIK8ABn,pop,0.686,0.83,-4.437,1,0.0369,0.0948,0.182,0.486,123.032,214634
6aoGtdWXBkYQ2O2wnyIz2x,pop,0.618,0.66,-8.14,0,0.0372,0.0292,0.325,0.408,105.0,210944
5tAa8Uaqr4VvA3693mbIhU,pop,0.665,0.699,-5.265,1,0.0578,0.423,0.0969,0.585,124.896,190932
18W92Zm1KjLCbUIszOhpkD,pop,0.661,0.725,-4.859,1,0.0563,0.0253,0.123,0.605,119.927,197939
3D37T7euWvVJ45evRmriIh,pop,0.571,0.752,-4.872,1,0.0293,0.0196,0.114,0.25,102.043,192941
3y3brCCecHC3Db18aIOnny,pop,0.591,0.705,-6.519,0,0.079,0.381,0.131,0.27,121.799,215316
6XqvFyJGdUD5IWee02ARKU,pop,0.652,0.898,-4.481,0,0.0361,0.29,0.073,0.472,114.043,193377
575NJxNUVDqwJGdzBrlLbv,pop,0.706,0.855,-5.377,1,0.215,0.0911,0.347,0.293,107.184,201253
70YPzqSEwJvAIQ6nMs1cjY,pop,0.404,0.806,-4.75,1,0.0496,0.198,0.114,0.112,148.036,220730
7Ht0v0LWBCOEjmNQ0iMpNr,pop,0.876,0.856,-3.884,1,0.0486,0.0812,0.457,0.685,121.991,185062
6nDKrPlXdpomGBgAlO7UdP,pop,0.802,0.645,-6.181,0,0.0715,0.272,0.119,0.376,100.001,157202
2b1BwUGGyKq0CoJd8G1B6M,pop,0.906,0.832,-3.004,0,0.0718,0.0909,0.152,0.751,104.03,159753
09IStsImFySgyp0pIQdqAc,pop,0.753,0.657,-3.061,1,0.0449,0.171,0.112,0.437,107.01,184732
1lGVyEkGHUz7Pg78QGaS4a,pop,0.693,0.674,-4.449,1,0.0723,0.185,0.0639,0.378,95.972,160998
6ksMjdec8b6C45TUawkAdu,pop,0.672,0.815,-6.476,0,0.0981,0.00246,0.577,0.341,115.033,226093
1vsQb8n0icvMsFnL9663LM,pop,0.581,0.76,-3.962,1,0.0406,0.16,0.183,0.523,104.099,205787
6pooRNiLyYpxZeIA5kJ5EX,pop,0.643,0.594,-5.453,1,0.0318,0.0128,0.118,0.442,144.033,216668
5WHTFyqSii0lmT9R21abT8,pop,0.674,0.881,-2.853,1,0.147,0.296,0.0793,0.234,98.994,178480
1pBO9JDqh1y3TbCKEO1OvG,pop,0.691,0.538,-9.952,1,0.103,0.246,0.178,0.329,99.972,182668
1LjxmkW3xRQP2HzswhYyyc,pop,0.661,0.758,-5.299,1,0.0864,0.0797,0.106,0.387,114.098,224061
7FCZhkhzEUVNUAlGauNKIe,pop,0.653,0.69,-5.003,1,0.0756,0.109,0.136,0.652,110.214,178501
2JoIjuzRplpYGvvLpSW2on,pop,0.734,0.693,-6.474,1,0.0361,0.0878,0.341,0.55,110.021,154024
4PUWpNtDejQwwa80LjvxXl,pop,0.663,0.696,-5.994,1,0.0349,0.0563,0.226,0.449,139.98,197880
1nufXiTCTTAeJfO9hLHvO8,pop,0.55,0.899,-3.284,0,0.0458,0.0113,0.137,0.408,125.85,170079
1NDxZ7cFAo481dtYWdrUnR,pop,0.703,0.868,-4.661,0,0.0291,0.15,0.104,0.733,121.03,193613
1ahVFh0ViDZr8LvkEVlq3B,pop,0.44,0.635,-6.385,1,0.0326,0.129,0.121,0.327,128.133,207095
0Ev562zA4pmUsBqjxsxxdx,pop,0.625,0.707,-4.761,1,0.0337,0.22,0.213,0.479,138.064,248156
5l8AUgBTWuOECwVgYtaUyE,pop,0.625,0.719,-5.541,1,0.0612,0.048,0.0668,0.326,101.091,202072
35MKhw2YBKApmD7fAnPERC,pop,0.547,0.795,-3.721,1,0.0489,0.145,0.11,0.723,118.118,186805
3Kuu5vASpXK8oRsxOvau6P,pop,0.673,0.596,-7.891,1,0.0354,0.166,0.11,0.19,123.969,208567
7KW3XQV5Or5CF57MYVj5h4,pop,0.699,0.633,-6.547,1,0.0362,0.0453,0.101,0.458,123.449,184533
3M9Apu4OZfylLTFKvgEtKa,pop,0.647,0.726,-4.389,0,0.0552,0.157,0.0844,0.767,114.996,198996
5N4erncE7kuUccm7zEmwzk,pop,0.588,0.67,-6.439,1,0.0473,0.0104,0.338,0.505,118.159,238173
6QcrReLyoun4xrPVsZ5OJE,pop,0.655,0.427,-11.684,0,0.0799,0.295,0.0788,0.224,107.992,215446
1kQhi22kyluRCnIPAXtxEZ,pop,0.79,0.865,-4.159,1,0.0438,0.0264,0.24,0.362,122.99,189165
5cE201rNvIkryS8N1dJ5nR,pop,0.611,0.737,-5.154,0,0.0476,0.0145,0.107,0.574,124.169,200318
4AkCyd9Nlbt8JprQq9V6o2,pop,0.726,0.763,-6.872,1,0.0882,0.524,0.0943,0.516,128.02,160312
48GmVZwvkoVC5StfMLfNJE,pop,0.714,0.705,-6.479,1,0.0995,0.292,0.126,0.471,114.994,219521
01iyINEYgPQ7ThMZuHUsqS,pop,0.619,0.938,-5.245,1,0.35,0.0257,0.128,0.601,94.38,207428
6BwClo5W3VvTzJv8bvZXDD,pop,0.575,0.808,-4.578,1,0.0439,0.0446,0.0693,0.232,127.922,179531
108r6pnZHStBIktpyyps9w,pop,0.768,0.808,-1.818,1,0.112,0.00627,0.343,0.664,119.971,166000
24Hzd4FPhz0HPx9jhM9cap,pop,0.767,0.605,-5.737,0,0.188,0.559,0.193,0.657,107.042,203200
4aTtHoSBB0CuQGA6vXBNyp,pop,0.466,0.612,-4.855,0,0.0307,0.0655,0.132,0.236,128.114,239067
0gIZLyF3MWQVcspzrLWYod,pop,0.434,0.917,-3.613,0,0.0633,0.301,0.289,0.622,121.967,147554
6y1UtRcHQU07aUs3oxZ8Yn,pop,0.744,0.79,-4.617,0,0.0562,0.0547,0.32,0.847,125.002,188640
54z0kLF0skj0Hdb9wCqPJt,pop,0.837,0.818,-4.474,0,0.0533,0.0527,0.11,0.484,109.993,157159
6mPstbtzhyqKmwefY4eVWD,pop,0.514,0.856,-4.285,1,0.0717,0.00123,0.544,0.351,117.014,228502
6uBhi9gBXWjanegOb2Phh0,pop,0.69,0.622,-5.025,0,0.0622,0.253,0.116,0.544,102.04,210091
1Pe3Tnahd3nNcKrTvNvNvW,pop,0.466,0.869,-4.275,1,0.0529,0.0142,0.115,0.185,126.113,187150
4w8niZpiMy6qz1mntFA5uM,pop,0.842,0.801,-4.167,0,0.228,0.157,0.0642,0.617,95.881,212500
7BKLCZ1jbUBVqRi2FVlTVw,pop,0.748,0.524,-5.599,1,0.0338,0.414,0.111,0.661,95.01,244960
2IDHoSlbG0CKH9rhq68wTb,pop,0.647,0.624,-8.446,1,0.0451,0.025,0.0616,0.477,115.002,243091
60wwxj6Dd9NJlirf84wr2c,pop,0.509,0.781,-3.48,1,0.072,0.0398,0.0749,0.176,128.0,271427
6kPJZM97LwdG9QIsT7khp6,pop,0.737,0.636,-4.546,0,0.0437,0.0441,0.35,0.565,105.005,222653
3ebXMykcMXOcLeJ9xZ17XH,pop,0.584,0.54,-7.786,0,0.0576,0.0895,0.261,0.195,137.972,220883
7iNIg7XDEaYECfWD5dJ9Va,pop,0.743,0.733,-5.337,1,0.0375,0.00402,0.304,0.622,104.977,189467
6cy3ki60hLwimwIje7tALf,pop,0.721,0.716,-7.037,0,0.0657,0.0334,0.237,0.667,104.994,221714
5N5k9nd479b1xpDZ4usjrg,pop,0.781,0.768,-5.991,1,0.0394,0.0119,0.325,0.486,123.07,213309
0qaWEvPkts34WF68r8Dzx9,pop,0.737,0.828,-4.711,1,0.0396,0.0149,0.0862,0.517,124.052,208474
6jq6rcOikCZAmjliAgAmfT,pop,0.57,0.763,-4.137,1,0.0573,0.0857,0.0932,0.43,150.088,239853
762UXiwEHYY97VL45sAUPR,pop,0.551,0.651,-5.828,0,0.0594,0.225,0.224,0.562,144.875,194907
6RUKPb4LETWmmr3iAEQktW,pop,0.617,0.635,-6.769,0,0.0317,0.0498,0.164,0.446,103.019,247160
7ef4DlsgrMEH11cDZd32M6,pop,0.791,0.862,-3.24,0,0.11,0.037,0.0814,0.592,123.994,214847
3zU9rdflI65tK4dkkNSp77,pop,0.503,0.748,-4.124,1,0.0619,0.0305,0.343,0.356,125.896,210013
12GEpg2XOPyqk03JZEZnJs,pop,0.64,0.533,-6.596,1,0.0706,0.119,0.0864,0.515,99.968,220781
4kte3OcW800TPvOVgrLLj8,pop,0.658,0.677,-6.628,1,0.0393,0.248,0.368,0.248,124.91,251627
0lYBSQXN6rCTvUZvg9S0lU,pop,0.649,0.716,-5.371,1,0.0349,0.0863,0.135,0.163,99.988,205947
3vv9phIu6Y1vX3jcqaGz5Z,pop,0.713,0.802,-7.055,1,0.0561,0.0435,0.309,0.343,100.001,226739
2QtJA4gbwe1AcanB2p21aP,pop,0.596,0.738,-3.109,1,0.0411,0.109,0.0947,0.461,127.961,217347
1BltsyC5W3SAABdxyrDXwi,pop,0.503,0.727,-5.456,1,0.167,0.0159,0.0895,0.521,121.985,255632
3tTYxjYYcXFqFXA0AZ1Fav,pop,0.609,0.726,-4.346,0,0.0414,0.0723,0.0895,0.362,93.958,195000
09CtPGIpYB4BrO8qb1RGsF,pop,0.654,0.76,-3.669,0,0.045,0.0797,0.299,0.41,99.945,200787
0azC730Exh71aQlOt9Zj3y,pop,0.63,0.928,-2.787,0,0.0331,0.199,0.148,0.465,123.963,222160
4h8VwCb1MTGoLKueQ1WgbD,pop,0.532,0.783,-5.697,1,0.0523,0.0038,0.161,0.643,124.08,247427
0E9ZjEAyAwOXZ7wJC0PD33,pop,0.694,0.77,-5.335,1,0.149,0.176,0.118,0.163,125.905,184560
0lHAMNU8RGiIObScrsRgmP,pop,0.604,0.787,-3.674,0,0.103,0.0679,0.127,0.301,126.062,245040
0n8ob8S72lvznoVfiwz4qL,pop,0.432,0.74,-5.053,1,0.062,0.0342,0.14,0.193,139.42,242520
4r6eNCsrZnQWJzzvFh4nlg,pop,0.638,0.832,-5.039,1,0.049,0.141,0.113,0.648,124.071,227893
0GzmMQizDeA2NVMUaZksv0,pop,0.759,0.716,-6.36,0,0.0818,0.0223,0.231,0.469,105.009,209733
1MlAkYV0nbRKWhhfvTt3zc,pop,0.614,0.832,-3.419,0,0.0522,0.11,0.185,0.429,129.038,213169
1WkMMavIMc4JZ8cfMmxHkI,pop,0.669,0.832,-5.72,1,0.0682,0.0106,0.0968,0.7,113.035,237547
7C7yqFTM0ncyJ04GIKrxdV,pop,0.702,0.781,-4.081,1,0.03,0.433,0.135,0.382,102.997,286322
0WfKDYeUAoLA3vdvLKKWMW,pop,0.851,0.806,-4.618,1,0.0786,0.12,0.121,0.776,119.001,237200
22mek4IiqubGD9ctzxc69s,pop,0.738,0.868,-4.373,0,0.0731,0.0389,0.388,0.336,122.003,212640
61ZM92T2zaXIVsqncThQzC,pop,0.57,0.672,-5.89,0,0.0723,0.177,0.0768,0.448,120.019,208222
6TnxdnJcZIwCWiCHq5Qds0,pop,0.67,0.89,-3.785,0,0.0576,0.122,0.333,0.568,124.967,206440
2aFAmDBycyEnj3lcS95JMe,pop,0.708,0.727,-7.647,1,0.0389,0.0201,0.37,0.512,120.012,231480
0Npijoc6ZcUe1devUugKvI,pop,0.654,0.787,-4.999,1,0.0502,0.00515,0.144,0.409,123.978,164490
5gwLIRjGFf3hXuHoKEsWLg,pop,0.945,0.584,-7.649,0,0.044,0.0955,0.147,0.626,124.996,168547
3d4lc8esnUl7Bx9J9d9oty,pop,0.704,0.929,-4.447,1,0.0395,0.0395,0.181,0.633,126.055,155238
0U6bQIAh6MCGo1xjbIIx2S,pop,0.765,0.906,-2.097,0,0.0965,0.125,0.423,0.95,96.071,184558
3oIVK7arAFuUOCGafPLxSC,pop,0.682,0.855,-3.282,1,0.0401,0.0566,0.101,0.304,124.004,198743
2I4jAMEOEUQD5V1byYCqNS,pop,0.627,0.662,-7.104,0,0.0349,0.0922,0.143,0.596,124.039,159194
59QmL8ygKtVfMHmPx3GaBX,pop,0.762,0.736,-7.66,1,0.0778,0.135,0.113,0.248,126.007,165714
5EdYlCWou17k0N1PADLKfO,pop,0.577,0.844,-3.364,1,0.0406,0.00407,0.499,0.283,115.066,183653
5MvsfUN0H79C24t3fPepeL,pop,0.632,0.816,-4.584,1,0.0349,0.00205,0.119,0.134,127.95,202500
7CHi4DtfK4heMlQaudCuHK,pop,0.598,0.526,-8.659,0,0.0415,0.129,0.14,0.529,123.935,168387
1CW7tYkpJ95c7bQkRf6CcK,pop,0.825,0.841,-6.433,1,0.135,0.0906,0.258,0.616,126.026,184582
4bSFPMXKYaCoBhzJv276zl,pop,0.63,0.731,-4.985,1,0.0352,0.0191,0.704,0.46,119.997,240000
5AFrctm65wWIqJsjHPPx85,pop,0.795,0.899,-4.202,1,0.0685,0.00235,0.199,0.329,125.978,198839
3DsjHcLYMExprXJECT4QQP,pop,0.529,0.717,-7.049,0,0.24,0.123,0.0363,0.481,103.99,257943
7FjZU7XFs7P9jHI9Z0yRhK,pop,0.7,0.872,-5.896,1,0.0666,0.121,0.103,0.761,125.03,190302
5ijpy4l0nKZPIKHui6SQfE,pop,0.791,0.541,-7.14,1,0.054,0.123,0.121,0.433,115.987,154654
6j8eH9frh703HaGBaSRS6u,pop,0.904,0.633,-5.545,1,0.0958,0.203,0.163,0.492,121.995,179016
79Vz5MNH7Qe4F7hPKT8tPz,pop,0.744,0.725,-6.055,1,0.0303,0.018,0.212,0.904,118.034,167859
65mOk4n0tfrMysFXu12ufx,pop,0.772,0.687,-6.348,0,0.211,0.0528,0.834,0.59,118.116,154286
4w5Grfxx5Rpup6mo5v6bW0,pop,0.706,0.524,-8.804,1,0.026,0.127,0.109,0.296,111.991,183183
3uiQZlSlSDRduWLFBTSEot,pop,0.664,0.699,-7.115,0,0.27,0.0352,0.0612,0.252,122.019,216256
29ikXeGM6kScvhvqfvgiwO,pop,0.781,0.745,-4.942,0,0.0374,0.0814,0.106,0.498,110.051,158091
2Eld7kejX6FH9OptVyKQak,pop,0.789,0.547,-8.738,0,0.0748,0.072,0.0782,0.48,120.024,203227
3BOcWxFUURAomDXRSDFve4,pop,0.575,0.808,-4.578,1,0.0439,0.0446,0.0693,0.232,127.922,179531
4YhN72dRYL2Z3MsaKyT7rS,pop,0.669,0.797,-5.68,0,0.0624,0.259,0.199,0.552,119.865,185943
7DQ5CZjAQdhgDgdnSXxJ7Z,pop,0.567,0.946,-2.245,0,0.0541,0.0978,0.0836,0.295,104.983,208367
2aXA9aQfrqaOi1Wy3NfSZI,pop,0.653,0.757,-3.642,1,0.0555,0.0997,0.242,0.233,128.015,204591
62XCV3AmCMkPa9X5mCim8O,pop,0.721,0.779,-4.239,0,0.0606,0.142,0.143,0.327,110.026,169964
5llPdGZJjJFJv9aL6ZaiLY,pop,0.534,0.765,-3.151,1,0.0338,0.0915,0.225,0.117,127.978,172520
7pWK1kMgHy5lNNiIfuRbkP,pop,0.651,0.693,-4.722,1,0.0375,0.458,0.335,0.392,118.97,236765
2W9pBY75aWOV39S73mqqbn,pop,0.682,0.923,-3.273,1,0.0364,0.00395,0.242,0.37,130.052,153231
1JxQmgCEipmHCUiJS568pE,pop,0.66,0.827,-5.081,1,0.0789,0.429,0.0923,0.611,115.349,167249
6pu5jQqenr37n0z6eBKOh0,pop,0.57,0.965,-4.881,0,0.0348,0.00108,0.201,0.148,123.008,291785
3RBk0P36O7wCMxF263jRJL,pop,0.608,0.918,-1.137,0,0.0684,0.199,0.309,0.422,126.022,182000
4uRx3SdWG2cNVfRNVPwHDS,pop,0.561,0.562,-11.431,0,0.15,0.062,0.118,0.244,151.631,242385
3ZRgqoTb7pVO11IxcKGtMo,pop,0.591,0.88,-5.153,0,0.223,0.0804,0.326,0.482,127.013,177638
0DhkTGjEaIHaSxTfC14BFm,pop,0.626,0.8,-3.988,0,0.035,0.0267,0.0623,0.258,127.966,160184
4nx4h17pRj1ikT0hZecR8z,pop,0.745,0.8,-5.606,0,0.0361,0.0209,0.113,0.314,122.008,204693
1tq4UL9BB7BHuT6eorlX3X,pop,0.66,0.857,-5.219,1,0.321,0.167,0.119,0.233,130.069,225160
4TIkSdsNSfqpuq6ZYvCjAz,pop,0.53,0.729,-6.019,1,0.0376,0.00699,0.103,0.219,139.929,238338
4P7F3kb2Ze1YleD6lUYwJo,pop,0.552,0.887,-3.812,1,0.147,0.0457,0.0903,0.783,125.229,131204
3qeJ84Y6PRS9LtliOuT94Z,pop,0.471,0.911,-4.372,0,0.0594,0.0316,0.571,0.197,126.112,170000
7sYAS4CpbV90oSemgaEQat,pop,0.747,0.776,-5.898,0,0.0722,0.0233,0.761,0.67,125.07,147027
1CRy08G60mS5jvhB27xMpS,pop,0.712,0.664,-8.026,1,0.0345,0.0416,0.0668,0.781,122.014,204514
02itaCXOdC54J0ISjqqFAp,pop,0.733,0.859,-5.03,0,0.033,0.479,0.105,0.52,124.948,147840
52EB2Gk1nkxZmbomJOXUde,pop,0.517,0.793,-5.851,0,0.0367,0.0214,0.0892,0.176,90.06,157333
