track_id,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,genre_encoded
1aT7vltGhkjyMI3F3aO3A4,0.641,0.869,-4.754,1,0.0423,0.0319,0.403,0.358,128.091,178125,2
4YaU1EjXIkdRdkOI4cCZys,0.702,0.814,-7.51,0,0.0841,0.107,0.374,0.503,121.993,172000,2
0Fc9QSMX6fgEBgDjUax7t7,0.723,0.837,-6.487,1,0.0389,0.0103,0.0834,0.643,123.952,177097,2
7AasLZ4TYgh7dbJXZxcZVE,0.742,0.864,-5.06,1,0.0976,0.00141,0.241,0.727,125.032,169935,2
7p4jpmyBnOpqQ3rSGJzZ7w,0.716,0.815,-4.121,1,0.0533,0.108,0.163,0.351,124.975,220413,2
4sLtguRBis05qfsBgJ1IdN,0.748,0.831,-5.029,1,0.115,0.0823,0.0757,0.894,128.024,185273,2
508lUjbGcPrL0CfvHC7UvI,0.816,0.833,-5.972,1,0.0511,0.126,0.0625,0.793,122.032,170164,2
7FDaS1k08rwMoAThmzUkOZ,0.633,0.854,-4.046,0,0.0432,0.0382,0.434,0.659,126.026,172360,2
6m8SIT10j41SPpPFOknTmP,0.563,0.81,-2.921,1,0.0522,0.00522,0.0846,0.495,129.975,247385,2
5Vwgf4MVO0vLv8fbxaGGiW,0.728,0.815,-2.878,0,0.046,0.00223,0.101,0.681,124.019,218015,2
5scxjvcdozadBoRRN0UMaM,0.846,0.773,-3.503,1,0.0473,0.0141,0.204,0.586,124.008,200444,2
6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,-7.159,1,0.0324,0.0154,0.101,0.404,103.952,228267,2
2tilX6FUl0IwFgiOYjuc6V,0.678,0.928,-3.66,0,0.0597,0.0303,0.143,0.663,116.892,150160,2
3yNZ5r3LKfdmjoS3gkhUCT,0.67,0.453,-11.265,1,0.295,0.252,0.117,0.68,135.055,194840,2
478QYNLw6dhTTx4oEkhBeq,0.755,0.931,-4.104,0,0.0606,0.132,0.0854,0.288,122.041,177466,2
3C4fzUgIP3ahkhOBdP38GM,0.622,0.859,-7.626,1,0.0636,0.000609,0.0909,0.442,121.968,218373,2
2k4c9ZAlIYHyXiJ4i20FO7,0.789,0.893,-4.364,0,0.168,0.0538,0.221,0.41,121.956,144073,2
79zGYOcAe2VmJsyQiJX31a,0.64,0.838,-4.203,1,0.0416,0.0588,0.0424,0.587,124.081,193861,2
6B2NRQjtSOtqi67d72r5cx,0.609,0.764,-4.564,0,0.111,0.0994,0.197,0.531,128.082,200625,2
08rBIlTMXlF5uEHobZglxv,0.64,0.992,-3.318,0,0.0585,0.0832,0.109,0.479,123.951,166237,2
1BmdqDrBU5eohtRwHBls6C,0.75,0.81,-4.607,0,0.0572,0.0917,0.111,0.48,120.038,171500,2
5rxKInBVj0QE87KenyDiLf,0.535,0.956,-2.996,0,0.0343,0.000609,0.262,0.12,127.984,266719,2
3kgKVcBpBGuSeaEC0AZGlb,0.766,0.771,-9.108,1,0.0576,0.00407,0.113,0.297,140.036,204027,2
5qCrT9lVmIGxqB8i6bb83P,0.649,0.821,-4.952,0,0.0472,0.017,0.0655,0.394,125.977,203968,2
3Lv3frZVXU7Q0JEFvLIzWW,0.588,0.697,-4.744,0,0.0372,0.186,0.103,0.225,125.157,190417,2
2bZYJvVRN5EqIvAUFhUNls,0.355,0.789,-4.358,0,0.165,0.0148,0.0355,0.169,80.444,237686,2
3utdq3dPLVD4r7Vv9BnCAI,0.542,0.84,-5.283,0,0.0419,0.0336,0.277,0.509,118.02,180361,2
1ppOGANOzMT01Cxh9jx4hN,0.735,0.5,-11.297,1,0.0511,0.415,0.13,0.119,126.1,139048,2
5Shjuje8PRcX7ueEVajrLH,0.752,0.84,-4.451,0,0.0373,0.00486,0.0916,0.461,124.002,279800,2
6wKJjrWWP4qpzYbE8oQkc4,0.748,0.903,-5.877,0,0.0385,0.0324,0.106,0.751,115.018,217043,2
6EDH26ppl7R8oV4tGilCkS,0.607,0.955,-3.613,0,0.102,0.0163,0.0725,0.501,125.984,230476,2
4RaN7556EogBfF80klMEX2,0.607,0.995,-2.325,0,0.0487,0.0921,0.0445,0.664,124.998,188640,2
1nwoWaqzB30bD4IPqRNuex,0.679,0.786,-6.918,0,0.132,0.119,0.224,0.47,126.092,196613,2
4fDBElPGDqZQ3rJorZTm2w,0.714,0.801,-5.8,0,0.0301,0.0204,0.334,0.292,124.015,210000,2
6AZ21kPj2a0INgf3uCviVu,0.69,0.862,-4.154,1,0.0944,0.0611,0.238,0.453,121.975,187869,2
3uXHSf9sSIpOJWuC1H8DiU,0.775,0.867,-7.388,0,0.204,0.0158,0.0355,0.565,128.956,273229,2
4Q9iBGT9b9CVTtDwsgQWnl,0.814,0.838,-5.547,1,0.0763,0.001,0.0185,0.959,121.978,255861,2
6LCsZ8ARrIq0n9nr6gM2ru,0.784,0.779,-5.48,1,0.0387,0.0357,0.0245,0.459,124.994,216714,2
27F9FlipD657qYRQT3qxFm,0.367,0.783,-4.504,1,0.154,0.00515,0.0545,0.289,88.013,192653,2
6B9cqNooxIyPfr3P5EB8LA,0.609,0.83,-3.759,0,0.0793,0.201,0.0321,0.604,117.833,238451,2
05CwHjIk71RXVU40boRMnR,0.591,0.702,-5.59,1,0.0289,0.225,0.414,0.501,104.003,217653,2
0qc4QlcCxVTGyShurEv1UU,0.59,0.642,-3.87,1,0.122,0.0771,0.105,0.651,107.356,174444,2
5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,-3.933,0,0.0439,0.0623,0.156,0.181,99.961,156347,2
6GIRtKNXokeu25nn7U6Hu8,0.564,0.747,-3.374,1,0.0584,0.0728,0.151,0.717,97.878,165767,2
4PkIDTPGedm0enzdvilLNd,0.669,0.801,-5.445,1,0.136,0.268,0.0594,0.541,109.919,201072,2
5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,-4.792,1,0.0602,0.194,0.316,0.385,99.991,223523,2
4Gcv5SsxnQWpmOnUI19EJk,0.513,0.788,-4.629,1,0.0364,0.00968,0.11,0.234,139.987,238459,2
5YkmS18BehACOhIIeUqe6l,0.72,0.864,-3.249,1,0.208,0.0856,0.16,0.659,96.048,191612,2
3vQhEd4lOg4mAV6CHCgoHW,0.789,0.858,-4.388,1,0.0404,0.22,0.335,0.491,110.012,173455,2
6wo37KVqFJhtuxPTpLCcfe,0.294,0.505,-8.106,1,0.042,0.12,0.0977,0.357,85.332,209893,2
3OTSBoYKO7HzGVj8Bu2OH9,0.665,0.799,-2.868,0,0.0617,0.18,0.125,0.5,101.976,228112,2
4NSW0Km5ZG60L8FthUebPJ,0.46,0.8,-3.584,1,0.05,0.289,0.121,0.553,102.46,220396,2
1xK7enJZVdv37fnnxoZlPq,0.362,0.921,-3.815,0,0.486,0.123,0.19,0.529,172.191,180840,2
1z1XegUChLLQfcbtIK8ABn,0.686,0.83,-4.437,1,0.0369,0.0948,0.182,0.486,123.032,214634,2
6aoGtdWXBkYQ2O2wnyIz2x,0.618,0.66,-8.14,0,0.0372,0.0292,0.325,0.408,105.0,210944,2
5tAa8Uaqr4VvA3693mbIhU,0.665,0.699,-5.265,1,0.0578,0.423,0.0969,0.585,124.896,190932,2
18W92Zm1KjLCbUIszOhpkD,0.661,0.725,-4.859,1,0.0563,0.0253,0.123,0.605,119.927,197939,2
3D37T7euWvVJ45evRmriIh,0.571,0.752,-4.872,1,0.0293,0.0196,0.114,0.25,102.043,192941,2
3y3brCCecHC3Db18aIOnny,0.591,0.705,-6.519,0,0.079,0.381,0.131,0.27,121.799,215316,2
6XqvFyJGdUD5IWee02ARKU,0.652,0.898,-4.481,0,0.0361,0.29,0.073,0.472,114.043,193377,2
575NJxNUVDqwJGdzBrlLbv,0.706,0.855,-5.377,1,0.215,0.0911,0.347,0.293,107.184,201253,2
70YPzqSEwJvAIQ6nMs1cjY,0.404,0.806,-4.75,1,0.0496,0.198,0.114,0.112,148.036,220730,2
7Ht0v0LWBCOEjmNQ0iMpNr,0.876,0.856,-3.884,1,0.0486,0.0812,0.457,0.685,121.991,185062,2
6nDKrPlXdpomGBgAlO7UdP,0.802,0.645,-6.181,0,0.0715,0.272,0.119,0.376,100.001,157202,2
2b1BwUGGyKq0CoJd8G1B6M,0.906,0.832,-3.004,0,0.0718,0.0909,0.152,0.751,104.03,159753,2
09IStsImFySgyp0pIQdqAc,0.753,0.657,-3.061,1,0.0449,0.171,0.112,0.437,107.01,184732,2
1lGVyEkGHUz7Pg78QGaS4a,0.693,0.674,-4.449,1,0.0723,0.185,0.0639,0.378,95.972,160998,2
6ksMjdec8b6C45TUawkAdu,0.672,0.815,-6.476,0,0.0981,0.00246,0.577,0.341,115.033,226093,2
1vsQb8n0icvMsFnL9663LM,0.581,0.76,-3.962,1,0.0406,0.16,0.183,0.523,104.099,205787,2
6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,-5.453,1,0.0318,0.0128,0.118,0.442,144.033,216668,2
5WHTFyqSii0lmT9R21abT8,0.674,0.881,-2.853,1,0.147,0.296,0.0793,0.234,98.994,178480,2
1pBO9JDqh1y3TbCKEO1OvG,0.691,0.538,-9.952,1,0.103,0.246,0.178,0.329,99.972,182668,2
1LjxmkW3xRQP2HzswhYyyc,0.661,0.758,-5.299,1,0.0864,0.0797,0.106,0.387,114.098,224061,2
7FCZhkhzEUVNUAlGauNKIe,0.653,0.69,-5.003,1,0.0756,0.109,0.136,0.652,110.214,178501,2
2JoIjuzRplpYGvvLpSW2on,0.734,0.693,-6.474,1,0.0361,0.0878,0.341,0.55,110.021,154024,2
4PUWpNtDejQwwa80LjvxXl,0.663,0.696,-5.994,1,0.0349,0.0563,0.226,0.449,139.98,197880,2
1nufXiTCTTAeJfO9hLHvO8,0.55,0.899,-3.284,0,0.0458,0.0113,0.137,0.408,125.85,170079,2
1NDxZ7cFAo481dtYWdrUnR,0.703,0.868,-4.661,0,0.0291,0.15,0.104,0.733,121.03,193613,2
1ahVFh0ViDZr8LvkEVlq3B,0.44,0.635,-6.385,1,0.0326,0.129,0.121,0.327,128.133,207095,2
0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,-4.761,1,0.0337,0.22,0.213,0.479,138.064,248156,2
5l8AUgBTWuOECwVgYtaUyE,0.625,0.719,-5.541,1,0.0612,0.048,0.0668,0.326,101.091,202072,2
35MKhw2YBKApmD7fAnPERC,0.547,0.795,-3.721,1,0.0489,0.145,0.11,0.723,118.118,186805,2
3Kuu5vASpXK8oRsxOvau6P,0.673,0.596,-7.891,1,0.0354,0.166,0.11,0.19,123.969,208567,2
7KW3XQV5Or5CF57MYVj5h4,0.699,0.633,-6.547,1,0.0362,0.0453,0.101,0.458,123.449,184533,2
3M9Apu4OZfylLTFKvgEtKa,0.647,0.726,-4.389,0,0.0552,0.157,0.0844,0.767,114.996,198996,2
5N4erncE7kuUccm7zEmwzk,0.588,0.67,-6.439,1,0.0473,0.0104,0.338,0.505,118.159,238173,2
6QcrReLyoun4xrPVsZ5OJE,0.655,0.427,-11.684,0,0.0799,0.295,0.0788,0.224,107.992,215446,2
1kQhi22kyluRCnIPAXtxEZ,0.79,0.865,-4.159,1,0.0438,0.0264,0.24,0.362,122.99,189165,2
5cE201rNvIkryS8N1dJ5nR,0.611,0.737,-5.154,0,0.0476,0.0145,0.107,0.574,124.169,200318,2
4AkCyd9Nlbt8JprQq9V6o2,0.726,0.763,-6.872,1,0.0882,0.524,0.0943,0.516,128.02,160312,2
48GmVZwvkoVC5StfMLfNJE,0.714,0.705,-6.479,1,0.0995,0.292,0.126,0.471,114.994,219521,2
01iyINEYgPQ7ThMZuHUsqS,0.619,0.938,-5.245,1,0.35,0.0257,0.128,0.601,94.38,207428,2
6BwClo5W3VvTzJv8bvZXDD,0.575,0.808,-4.578,1,0.0439,0.0446,0.0693,0.232,127.922,179531,2
108r6pnZHStBIktpyyps9w,0.768,0.808,-1.818,1,0.112,0.00627,0.343,0.664,119.971,166000,2
24Hzd4FPhz0HPx9jhM9cap,0.767,0.605,-5.737,0,0.188,0.559,0.193,0.657,107.042,203200,2
4aTtHoSBB0CuQGA6vXBNyp,0.466,0.612,-4.855,0,0.0307,0.0655,0.132,0.236,128.114,239067,2
0gIZLyF3MWQVcspzrLWYod,0.434,0.917,-3.613,0,0.0633,0.301,0.289,0.622,121.967,147554,2
6y1UtRcHQU07aUs3oxZ8Yn,0.744,0.79,-4.617,0,0.0562,0.0547,0.32,0.847,125.002,188640,2
54z0kLF0skj0Hdb9wCqPJt,0.837,0.818,-4.474,0,0.0533,0.0527,0.11,0.484,109.993,157159,2
6mPstbtzhyqKmwefY4eVWD,0.514,0.856,-4.285,1,0.0717,0.00123,0.544,0.351,117.014,228502,2
6uBhi9gBXWjanegOb2Phh0,0.69,0.622,-5.025,0,0.0622,0.253,0.116,0.544,102.04,210091,2
1Pe3Tnahd3nNcKrTvNvNvW,0.466,0.869,-4.275,1,0.0529,0.0142,0.115,0.185,126.113,187150,2
4w8niZpiMy6qz1mntFA5uM,0.842,0.801,-4.167,0,0.228,0.157,0.0642,0.617,95.881,212500,2
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,1,0.0338,0.414,0.111,0.661,95.01,244960,2
2IDHoSlbG0CKH9rhq68wTb,0.647,0.624,-8.446,1,0.0451,0.025,0.0616,0.477,115.002,243091,2
60wwxj6Dd9NJlirf84wr2c,0.509,0.781,-3.48,1,0.072,0.0398,0.0749,0.176,128.0,271427,2
6kPJZM97LwdG9QIsT7khp6,0.737,0.636,-4.546,0,0.0437,0.0441,0.35,0.565,105.005,222653,2
3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,-7.786,0,0.0576,0.0895,0.261,0.195,137.972,220883,2
7iNIg7XDEaYECfWD5dJ9Va,0.743,0.733,-5.337,1,0.0375,0.00402,0.304,0.622,104.977,189467,2
6cy3ki60hLwimwIje7tALf,0.721,0.716,-7.037,0,0.0657,0.0334,0.237,0.667,104.994,221714,2
5N5k9nd479b1xpDZ4usjrg,0.781,0.768,-5.991,1,0.0394,0.0119,0.325,0.486,123.07,213309,2
0qaWEvPkts34WF68r8Dzx9,0.737,0.828,-4.711,1,0.0396,0.0149,0.0862,0.517,124.052,208474,2
6jq6rcOikCZAmjliAgAmfT,0.57,0.763,-4.137,1,0.0573,0.0857,0.0932,0.43,150.088,239853,2
762UXiwEHYY97VL45sAUPR,0.551,0.651,-5.828,0,0.0594,0.225,0.224,0.562,144.875,194907,2
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,-6.769,0,0.0317,0.0498,0.164,0.446,103.019,247160,2
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,-3.24,0,0.11,0.037,0.0814,0.592,123.994,214847,2
3zU9rdflI65tK4dkkNSp77,0.503,0.748,-4.124,1,0.0619,0.0305,0.343,0.356,125.896,210013,2
12GEpg2XOPyqk03JZEZnJs,0.64,0.533,-6.596,1,0.0706,0.119,0.0864,0.515,99.968,220781,2
4kte3OcW800TPvOVgrLLj8,0.658,0.677,-6.628,1,0.0393,0.248,0.368,0.248,124.91,251627,2
0lYBSQXN6rCTvUZvg9S0lU,0.649,0.716,-5.371,1,0.0349,0.0863,0.135,0.163,99.988,205947,2
3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,-7.055,1,0.0561,0.0435,0.309,0.343,100.001,226739,2
2QtJA4gbwe1AcanB2p21aP,0.596,0.738,-3.109,1,0.0411,0.109,0.0947,0.461,127.961,217347,2
1BltsyC5W3SAABdxyrDXwi,0.503,0.727,-5.456,1,0.167,0.0159,0.0895,0.521,121.985,255632,2
3tTYxjYYcXFqFXA0AZ1Fav,0.609,0.726,-4.346,0,0.0414,0.0723,0.0895,0.362,93.958,195000,2
09CtPGIpYB4BrO8qb1RGsF,0.654,0.76,-3.669,0,0.045,0.0797,0.299,0.41,99.945,200787,2
0azC730Exh71aQlOt9Zj3y,0.63,0.928,-2.787,0,0.0331,0.199,0.148,0.465,123.963,222160,2
4h8VwCb1MTGoLKueQ1WgbD,0.532,0.783,-5.697,1,0.0523,0.0038,0.161,0.643,124.08,247427,2
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,-5.335,1,0.149,0.176,0.118,0.163,125.905,184560,2
0lHAMNU8RGiIObScrsRgmP,0.604,0.787,-3.674,0,0.103,0.0679,0.127,0.301,126.062,245040,2
0n8ob8S72lvznoVfiwz4qL,0.432,0.74,-5.053,1,0.062,0.0342,0.14,0.193,139.42,242520,2
4r6eNCsrZnQWJzzvFh4nlg,0.638,0.832,-5.039,1,0.049,0.141,0.113,0.648,124.071,227893,2
0GzmMQizDeA2NVMUaZksv0,0.759,0.716,-6.36,0,0.0818,0.0223,0.231,0.469,105.009,209733,2
1MlAkYV0nbRKWhhfvTt3zc,0.614,0.832,-3.419,0,0.0522,0.11,0.185,0.429,129.038,213169,2
1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,-5.72,1,0.0682,0.0106,0.0968,0.7,113.035,237547,2
7C7yqFTM0ncyJ04GIKrxdV,0.702,0.781,-4.081,1,0.03,0.433,0.135,0.382,102.997,286322,2
0WfKDYeUAoLA3vdvLKKWMW,0.851,0.806,-4.618,1,0.0786,0.12,0.121,0.776,119.001,237200,2
22mek4IiqubGD9ctzxc69s,0.738,0.868,-4.373,0,0.0731,0.0389,0.388,0.336,122.003,212640,2
61ZM92T2zaXIVsqncThQzC,0.57,0.672,-5.89,0,0.0723,0.177,0.0768,0.448,120.019,208222,2
6TnxdnJcZIwCWiCHq5Qds0,0.67,0.89,-3.785,0,0.0576,0.122,0.333,0.568,124.967,206440,2
2aFAmDBycyEnj3lcS95JMe,0.708,0.727,-7.647,1,0.0389,0.0201,0.37,0.512,120.012,231480,2
0Npijoc6ZcUe1devUugKvI,0.654,0.787,-4.999,1,0.0502,0.00515,0.144,0.409,123.978,164490,2
5gwLIRjGFf3hXuHoKEsWLg,0.945,0.584,-7.649,0,0.044,0.0955,0.147,0.626,124.996,168547,2
3d4lc8esnUl7Bx9J9d9oty,0.704,0.929,-4.447,1,0.0395,0.0395,0.181,0.633,126.055,155238,2
0U6bQIAh6MCGo1xjbIIx2S,0.765,0.906,-2.097,0,0.0965,0.125,0.423,0.95,96.071,184558,2
3oIVK7arAFuUOCGafPLxSC,0.682,0.855,-3.282,1,0.0401,0.0566,0.101,0.304,124.004,198743,2
2I4jAMEOEUQD5V1byYCqNS,0.627,0.662,-7.104,0,0.0349,0.0922,0.143,0.596,124.039,159194,2
59QmL8ygKtVfMHmPx3GaBX,0.762,0.736,-7.66,1,0.0778,0.135,0.113,0.248,126.007,165714,2
5EdYlCWou17k0N1PADLKfO,0.577,0.844,-3.364,1,0.0406,0.00407,0.499,0.283,115.066,183653,2
5MvsfUN0H79C24t3fPepeL,0.632,0.816,-4.584,1,0.0349,0.00205,0.119,0.134,127.95,202500,2
7CHi4DtfK4heMlQaudCuHK,0.598,0.526,-8.659,0,0.0415,0.129,0.14,0.529,123.935,168387,2
1CW7tYkpJ95c7bQkRf6CcK,0.825,0.841,-6.433,1,0.135,0.0906,0.258,0.616,126.026,184582,2
4bSFPMXKYaCoBhzJv276zl,0.63,0.731,-4.985,1,0.0352,0.0191,0.704,0.46,119.997,240000,2
5AFrctm65wWIqJsjHPPx85,0.795,0.899,-4.202,1,0.0685,0.00235,0.199,0.329,125.978,198839,2
3DsjHcLYMExprXJECT4QQP,0.529,0.717,-7.049,0,0.24,0.123,0.0363,0.481,103.99,257943,2
7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,-5.896,1,0.0666,0.121,0.103,0.761,125.03,190302,2
5ijpy4l0nKZPIKHui6SQfE,0.791,0.541,-7.14,1,0.054,0.123,0.121,0.433,115.987,154654,2
6j8eH9frh703HaGBaSRS6u,0.904,0.633,-5.545,1,0.0958,0.203,0.163,0.492,121.995,179016,2
79Vz5MNH7Qe4F7hPKT8tPz,0.744,0.725,-6.055,1,0.0303,0.018,0.212,0.904,118.034,167859,2
65mOk4n0tfrMysFXu12ufx,0.772,0.687,-6.348,0,0.211,0.0528,0.834,0.59,118.116,154286,2
4w5Grfxx5Rpup6mo5v6bW0,0.706,0.524,-8.804,1,0.026,0.127,0.109,0.296,111.991,183183,2
3uiQZlSlSDRduWLFBTSEot,0.664,0.699,-7.115,0,0.27,0.0352,0.0612,0.252,122.019,216256,2
29ikXeGM6kScvhvqfvgiwO,0.781,0.745,-4.942,0,0.0374,0.0814,0.106,0.498,110.051,158091,2
2Eld7kejX6FH9OptVyKQak,0.789,0.547,-8.738,0,0.0748,0.072,0.0782,0.48,120.024,203227,2
3BOcWxFUURAomDXRSDFve4,0.575,0.808,-4.578,1,0.0439,0.0446,0.0693,0.232,127.922,179531,2
4YhN72dRYL2Z3MsaKyT7rS,0.669,0.797,-5.68,0,0.0624,0.259,0.199,0.552,119.865,185943,2
7DQ5CZjAQdhgDgdnSXxJ7Z,0.567,0.946,-2.245,0,0.0541,0.0978,0.0836,0.295,104.983,208367,2
2aXA9aQfrqaOi1Wy3NfSZI,0.653,0.757,-3.642,1,0.0555,0.0997,0.242,0.233,128.015,204591,2
62XCV3AmCMkPa9X5mCim8O,0.721,0.779,-4.239,0,0.0606,0.142,0.143,0.327,110.026,169964,2
5llPdGZJjJFJv9aL6ZaiLY,0.534,0.765,-3.151,1,0.0338,0.0915,0.225,0.117,127.978,172520,2
7pWK1kMgHy5lNNiIfuRbkP,0.651,0.693,-4.722,1,0.0375,0.458,0.335,0.392,118.97,236765,2
2W9pBY75aWOV39S73mqqbn,0.682,0.923,-3.273,1,0.0364,0.00395,0.242,0.37,130.052,153231,2
1JxQmgCEipmHCUiJS568pE,0.66,0.827,-5.081,1,0.0789,0.429,0.0923,0.611,115.349,167249,2
6pu5jQqenr37n0z6eBKOh0,0.57,0.965,-4.881,0,0.0348,0.00108,0.201,0.148,123.008,291785,2
3RBk0P36O7wCMxF263jRJL,0.608,0.918,-1.137,0,0.0684,0.199,0.309,0.422,126.022,182000,2
4uRx3SdWG2cNVfRNVPwHDS,0.561,0.562,-11.431,0,0.15,0.062,0.118,0.244,151.631,242385,2
3ZRgqoTb7pVO11IxcKGtMo,0.591,0.88,-5.153,0,0.223,0.0804,0.326,0.482,127.013,177638,2
0DhkTGjEaIHaSxTfC14BFm,0.626,0.8,-3.988,0,0.035,0.0267,0.0623,0.258,127.966,160184,2
4nx4h17pRj1ikT0hZecR8z,0.745,0.8,-5.606,0,0.0361,0.0209,0.113,0.314,122.008,204693,2
1tq4UL9BB7BHuT6eorlX3X,0.66,0.857,-5.219,1,0.321,0.167,0.119,0.233,130.069,225160,2
4TIkSdsNSfqpuq6ZYvCjAz,0.53,0.729,-6.019,1,0.0376,0.00699,0.103,0.219,139.929,238338,2
4P7F3kb2Ze1YleD6lUYwJo,0.552,0.887,-3.812,1,0.147,0.0457,0.0903,0.783,125.229,131204,2
3qeJ84Y6PRS9LtliOuT94Z,0.471,0.911,-4.372,0,0.0594,0.0316,0.571,0.197,126.112,170000,2
7sYAS4CpbV90oSemgaEQat,0.747,0.776,-5.898,0,0.0722,0.0233,0.761,0.67,125.07,147027,2
1CRy08G60mS5jvhB27xMpS,0.712,0.664,-8.026,1,0.0345,0.0416,0.0668,0.781,122.014,204514,2
02itaCXOdC54J0ISjqqFAp,0.733,0.859,-5.03,0,0.033,0.479,0.105,0.52,124.948,147840,2
52EB2Gk1nkxZmbomJOXUde,0.517,0.793,-5.851,0,0.0367,0.0214,0.0892,0.176,90.06,157333,2
4Jwp3yjIQfudmjuctLQlfJ,0.675,0.674,-6.329,1,0.0372,0.00339,0.279,0.414,125.037,200640,2
7N06jo3EnV792VFaG8vuW6,0.818,0.823,-3.563,0,0.2,0.0663,0.133,0.52,128.136,160794,2
517cAnPxsaxfrkKHHY41wB,0.639,0.591,-3.905,0,0.0344,0.128,0.159,0.305,128.002,225000,2
